ਮੈਂ ਖੁਦ ਨਹੀਂ ਸਮਝ ਸਕਿਆ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ |,surprise 
ਇੱਥੇ ਕਿਵੇਂ ਬੁੱਕ ਕਰਨਾ ਹੈ,Neutral
"ਵਾਹ, ਤੁਸੀਂ ਬਹੁਤ ਸੁੰਦਰ ਲੱਗ ਰਹੇ ਹੋ",surprise 
ਮੈਂ ਪਹਿਲਾਂ ਕਦੇ ਇੰਨਾ ਪਰੇਸ਼ਾਨ ਨਹੀਂ ਹੋਇਆ,anger
ਉਹ ਉਸ ਲਈ ਸਰਪ੍ਰਾਈਜ਼ ਬਰਥਡੇ ਪਾਰਟੀ ਦੀ ਯੋਜਨਾ ਬਣਾ ਰਿਹਾ ਹੈ,surprise 
"ਕੰਪਿਊਟਰ 'ਤੇ ਗੁੱਸਾ ਅਤੇ ਸਪੱਸ਼ਟ ਗੁੱਸਾ, ਜਦੋਂ ਇਹ ਉਸ ਤਰ੍ਹਾਂ ਦਾ ਵਿਵਹਾਰ ਨਹੀਂ ਕਰਦਾ ਜਿਸ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਚਾਹੁੰਦੇ ਹੋ, ਇਸ ਤਰ੍ਹਾਂ ਦੇ ਟ੍ਰਾਂਸਫਰ ਦਾ ਲੱਛਣ ਹੋ ਸਕਦਾ ਹੈ",anger
ਮੈਨੂੰ ਸਮਝ ਨਹੀਂ ਆ ਰਿਹਾ ਕਿ ਮੈਨੂੰ ਕੀ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ,Neutral
ਇਹ ਦ੍ਰਿਸ਼ ਮੇਰੇ ਦਿਲ ਨੂੰ ਡਰਾਉਣਾ ਹੈ,fear
"ਪਰ ਆਪਣੇ ਤੀਜੇ ਜਾਂ ਚੌਥੇ ਮੂੰਹ ਦੀ ਮਸਤੀ ਦੇ ਵਿਚਕਾਰ, ਪੌਲ ਨੇ ਮਹਿਸੂਸ ਕੀਤਾ ਕਿ ਉਸਦਾ ਨਾਖੁਸ਼ ਪੇਟ ਹੋਰ ਵੀ ਨਾਖੁਸ਼ ਮੋੜ ਲੈਂਦਾ ਹੈ",sad
"ਉਹ ਸਹੀ ਸੀ, ਕਿਉਂਕਿ ਜਿਵੇਂ ਹੀ ਉਸਨੇ ਸਾਰੀਆਂ ਭਾਵਨਾਵਾਂ ਨੂੰ ਛੱਡ ਦਿੱਤਾ ਜੋ ਉਸਨੇ ਦੂਜਿਆਂ ਤੋਂ ਛੁਪਾਇਆ ਹੋਇਆ ਸੀ, ਗੁੱਸਾ, ਡਰ ਅਤੇ ਉਦਾਸੀ ਇਕੱਠੇ ਹੋ ਗਏ",sad
ਕਦੇ ਕਦੇ ਤੁਸੀਂ ਕੰਮ ਆਉਂਦੇ ਹੋ,anger
ਤੁਸੀਂ ਕਮਾਲ ਹੋ,happy
ਮੈਂ ਉਸ ਡੱਬੇ ਬਾਰੇ ਉਤਸੁਕ ਹਾਂ ਕਿ ਅੰਦਰ ਕੀ ਹੋਵੇਗਾ,surprise 
ਸ਼ੀਟ ਮੈਨ ਮੇਰੀ ਫਲਾਈਟ ਲੇਟ ਹੋ ਗਈ,sad
ਪੈਸੇ ਲਈ ਤੁਹਾਡਾ ਧੰਨਵਾਦ,happy
"ਮੇਜ਼ 'ਤੇ ਬਲਦੀ ਇਕਾਂਤ ਦੀ ਮੋਮਬੱਤੀ ਨੇ ਉਸ ਦੇ ਚਿਹਰੇ 'ਤੇ ਇਕ ਬੇਹੋਸ਼ੀ ਦੀ ਰੌਸ਼ਨੀ ਸੁੱਟ ਦਿੱਤੀ, ਫਿਰ ਵੀ ਇਹ ਸਪੱਸ਼ਟ ਸੀ ਕਿ ਉਹ ਬਹੁਤ ਦੁਖੀ ਸੀ ",sad
ਉਹ ਖੁਸ਼ ਨਹੀਂ ਹੈ ਕਿਉਂਕਿ ਨਵਾਂ ਸਟੇਡੀਅਮ 10 ਮਿੰਟ ਦੇ ਫਲੈਟ ਵਿੱਚ ਨਹੀਂ ਬਣ ਰਿਹਾ ਹੈ,happy
ਮੈਂ ਉਸ ਪ੍ਰਤੀ ਗੁੱਸਾ ਮਹਿਸੂਸ ਨਹੀਂ ਕਰ ਸਕਦਾ ਸੀ,anger
ਮੈਨੂੰ ਮਦਦ ਦੀ ਲੋੜ ਸੀ,Neutral
ਸਿਰਫ ਹੈਰਾਨੀ ਦੀ ਗੱਲ ਇਹ ਸੀ ਕਿ ਇਹ ਜਿੰਪਲ ਸੀ ਜਿਸਨੇ ਇਸ ਪ੍ਰਾਚੀਨ ਲਿਕੁਡ ਕੈਨਡ ਦਾ ਸਹਾਰਾ ਲਿਆ ਸੀ,surprise 
ਉਹ ਖੁਸ਼ੀ ਨਾਲ ਰੋਈ ਕਿ ਉਹ ਕਿੰਨੀ ਖੁਸ਼ਕਿਸਮਤ ਸੀ,happy
ਕਿਉਂਕਿ ਵੀਹ ਸਾਲਾਂ ਦੀ ਕਿਰਪਾ ਦੇ ਸਭ ਤੋਂ ਵਧੀਆ ਹਿੱਸੇ ਨਾਲ ਵੀ ਬੁਰਾਈ ਦੀ ਉਹ ਡਿਗਰੀ ਫਿੱਕੀ ਨਹੀਂ ਪੈਂਦੀ,Neutral
"ਅਸੀਂ ਕਿਸੇ ਅਜਿਹੇ ਵਿਅਕਤੀ ਬਾਰੇ ਪੜ੍ਹਦੇ ਹਾਂ ਜੋ ਬੁਰੇ ਕੰਮ ਕਰਦਾ ਹੈ ਅਤੇ ਗਲਤ ਵਿਚਾਰ ਰੱਖਦਾ ਹੈ, ਅਤੇ ਜਿਸਦਾ ਦੁਖੀ ਪੁਨਰ ਜਨਮ ਹੁੰਦਾ ਹੈ",sad
ਉਹ ਖੁਸ਼ ਨਹੀਂ ਸੀ ਅਤੇ ਕੰਮ ਵਿੱਚ ਚੰਗਾ ਨਹੀਂ ਸੀ,happy
"ਅਤੇ ਇਸੇ ਲਈ ਉਸ ਨੂੰ ਗੁਆਉਣ ਦਾ ਅਹਿਸਾਸ, ਉਦਾਸੀ ਦਾ ਅਹਿਸਾਸ, ਉਸ ਸਮੇਂ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸੀ ",sad
ਵਾਹ ਯਾਰ ਤੁਸੀਂ ਕੀ ਕਿਹਾ,happy
ਮਰਦ ਸ਼ਰਧਾ ਨਾਲੋਂ ਡਰ ਨਾਲ ਜ਼ਿਆਦਾ ਪ੍ਰਭਾਵਿਤ ਹੁੰਦੇ ਹਨ।,fear
"ਜਦੋਂ ਰਚਨਾ ਦੀਆਂ ਸੀਮਾਵਾਂ ਸਕ੍ਰੈਪ ਦੀ ਵਰਤੋਂ 'ਤੇ ਪਾਬੰਦੀ ਲਗਾਉਂਦੀਆਂ ਹਨ, ਤਾਂ ਉਤਪਾਦ ਨੂੰ ਪ੍ਰਾਇਮਰੀ ਜਾਂ ਕੁਆਰੀ ਕਾਸਟਿੰਗ ਅਲੌਏ ਇੰਗੋਟ ਵਜੋਂ ਮਨੋਨੀਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ",Neutral
ਤੁਸੀਂ ਬਹੁਤ ਬੁੱਧੀਮਾਨ ਹੋ,happy
ਮੈਂ ਇਸ ਨੌਕਰੀ ਲਈ ਬਹੁਤ ਖੁਸ਼ੀ ਮਹਿਸੂਸ ਕਰਦਾ ਹਾਂ,happy
ਆਹ ਕੈਬ ਦੀ ਬੁਕਿੰਗ ਕਰਵਾ ਲਓ,Neutral
ਮੇਰੇ ਖਾਤੇ ਵਿੱਚ ਪੈਸੇ ਕਦੋਂ ਖਤਮ ਹੋਣਗੇ?,Neutral
"ਅਤੇ ਮੈਂ ਮਹਿਸੂਸ ਕੀਤਾ ਕਿ ਜੇ ਮੈਂ ਜ਼ਿੰਦਗੀ ਵਿਚ ਇੰਨਾ ਖੁਸ਼ ਹਾਂ, ਤਾਂ ਮੇਰੀ ਜ਼ਿੰਦਗੀ ਹਮੇਸ਼ਾ ਲਈ ਖੁਸ਼ਹਾਲ ਅਤੇ ਖੁਸ਼ਹਾਲ ਰਹੇਗੀ",happy
ਇਹ ਕੁਝ ਲੋਕਾਂ ਲਈ ਹੈਰਾਨੀ ਵਾਲੀ ਗੱਲ ਹੋ ਸਕਦੀ ਹੈ ਕਿ ਇੱਕ ਬੱਚਾ ਬਹੁਤ ਸਾਰੇ ਹੁਨਰਾਂ ਨਾਲ ਪੈਦਾ ਹੁੰਦਾ ਹੈ,surprise 
"ਕਿਮਲ ਅਤੇ ਕੈਨਯ ਨੇ ਹੈਚੇਟ ਨੂੰ ਦਫਨਾਉਣ ਤੋਂ ਲੈ ਕੇ ਟੈਲੀਕਿਨੇਟਿਕ ਕੌਫੀ ਸ਼ੌਪ ਦੇ ਹੈਰਾਨੀ ਤੱਕ, ਸਾਡੀ ਕਾਉਂਟਡਾਊਨ ਦੇਖੋ",surprise 
ਕੀ ਤੁਸੀਂ ਕੁੱਤਿਆਂ ਤੋਂ ਡਰਦੇ ਹੋ?,fear
"ਜਦੋਂ ਮੈਂ ਬੱਦਲਾਂ ਵਿੱਚ ਗਰਜ ਸੁਣਦਾ ਹਾਂ, ਤਾਂ ਮੈਂ ਅਚਾਨਕ ਬਹੁਤ ਡਰ ਮਹਿਸੂਸ ਕਰਦਾ ਹਾਂ",fear
ਤੁਸੀਂ ਗੁੱਸੇ ਵਿੱਚ ਕਿਉਂ ਹੋ?,anger
ਪਟਾਕੇ ਸਾਡੇ ਜਸ਼ਨਾਂ ਵਿੱਚ ਚਮਕ ਅਤੇ ਅਨੰਦ ਜੋੜਦੇ ਹਨ,happy
ਸਰੀਰ ਦੇ ਵਾਲਾਂ ਦਾ ਇਹ ਅਟੈਵਿਸਟਿਕ ਡਰ ਇੱਕ ਧਰਮ ਨਾਲ ਪੂਰੀ ਤਰ੍ਹਾਂ ਅਨੁਕੂਲ ਹੈ ਜੋ ਮਨੁੱਖ ਨੂੰ ਉਸਦੇ ਜਾਨਵਰਾਂ ਦੇ ਮੂਲ ਤੋਂ ਵੱਖ ਕਰਨਾ ਚਾਹੁੰਦਾ ਹੈ,fear
ਰਾਤ ਦੇ ਹਨੇਰੇ ਵਿੱਚ ਮੈਨੂੰ ਇੱਕ ਅਣਜਾਣ ਆਦਮੀ ਨੇ ਘੇਰ ਲਿਆ ਸੀ,fear
ਇਹ ਚਗਾ ਹੈ,happy
"ਮੈਨੂੰ ਉਮੀਦ ਹੈ ਕਿ ਮੇਰੀ ਗੱਲ ਸੁਣਨ ਤੋਂ ਬਾਅਦ, ਤੁਸੀਂ ਮੇਰੇ ਨਾਲ ਹੋਰ ਨਾਰਾਜ਼ ਨਹੀਂ ਹੋਵੋਗੇ",anger
ਉਸਨੇ ਆਪਣਾ ਗੁੱਸਾ ਦਰਸ਼ਕਾਂ ਤੋਂ ਛੁਪਾਇਆ,anger
ਮੈਂ ਇਹ ਸੋਚ ਕੇ ਹੀ ਡਰ ਗਿਆ,fear
ਕੋਸ਼ਿਸ਼ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ,Neutral
ਤੁਸੀਂ ਉਦੋਂ ਤੋਂ ਕੁਝ ਵੀ ਨਹੀਂ ਕਰ ਸਕੇ ਹੋ,anger
ਕੱਲ੍ਹ ਦੀ ਰੇਲਗੱਡੀ ਉਪਲਬਧ ਹੈ,Neutral
"ਅਸਲ ਵਿੱਚ, ਇਹ ਭੰਡਾਰੇ, ਜਸ਼ਨ ਅਤੇ ਖੁਸ਼ੀ ਦੀ ਰਾਤ ਸੀ ਪਰ ਇਹ ਉਦਾਸੀ ਦੀ ਇੱਕ ਵੱਖਰੀ ਭਾਵਨਾ ਨਾਲ ਰੰਗੀ ਹੋਈ ਸੀ।",sad
ਵਾਹ! ਮਜ਼ਾ ਆਇਆ,happy
ਉਹ ਮੇਰੇ ਪ੍ਰਦਰਸ਼ਨ ਤੋਂ ਬਹੁਤ ਖੁਸ਼ ਹਨ,happy
ਫਟਾ ਫਾਟ ਇੱਕ ਕੈਬ ਬੁੱਕ ਕਰ ਰਿਹਾ ਹੈ,Neutral
ਆਦਮੀ ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ,anger
"ਆਖਰਕਾਰ, ਅਜਾਇਬ ਘਰ ਉਸਨੂੰ ਸਮੁੰਦਰ ਦੇ ਯੋਗ ਬਣਾਉਣ ਲਈ ਸਰਪ੍ਰਾਈਜ਼ ਨੂੰ ਕਲਕ ਅਤੇ ਪੇਂਟ ਕਰੇਗਾ",surprise 
ਡਾਇਨ ਅਤੇ ਡੇਰੇਕ ਦੀ ਦੋ ਸਾਲਾਂ ਦੀ ਤੂਫ਼ਾਨੀ ਪ੍ਰੇਮਿਕਾ ਸੀ ਅਤੇ ਦਿਨ ਦਾ ਸਵਾਲ ਇਹ ਸੀ ਕਿ ਖੁਸ਼ਹਾਲ ਜੋੜਾ ਕਿੱਥੇ ਮਿਲਿਆ ਸੀ?,happy
ਕੀ ਤੁਹਾਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਇਹ ਸੰਭਵ ਹੈ,surprise 
ਓ ਬਹੁਤ ਵਧੀਆ,happy
ਮੈਂ ਉਸ ਨਾਲ ਗੁੱਸੇ ਸੀ ਕਿਉਂਕਿ ਉਸਨੇ ਮੇਰੀ ਗੱਲ ਨਹੀਂ ਮੰਨੀ,anger
ਇਹ ਬਹੁਤ ਗੰਦਾ ਸੀ,sad
"ਮੱਧ ਮਾਰਗ ਦੇ ਇਸ ਦੁਖਦਾਈ ਵਰਣਨ ਵਿੱਚ, ਓਲਾਉਦਾਹ ਇਕੁਆਨੋ ਨੇ ਟਰਾਂਸਟਲਾਂਟਿਕ ਗੁਲਾਮ ਵਪਾਰ ਦੇ ਦਹਿਸ਼ਤ ਦਾ ਵਰਣਨ ਕੀਤਾ",fear
ਨਾਰਾਜ਼ਗੀ ਪਾਲਣ ਨਾਲ ਤੁਹਾਡੀ ਸਿਹਤ ’ਤੇ ਬੁਰਾ ਅਸਰ ਪੈ ਸਕਦਾ ਹੈ,anger
ਉਹ ਗਲੀ ਦੀਆਂ ਸਾਰੀਆਂ ਔਰਤਾਂ ਲਈ ਦਹਿਸ਼ਤ ਹੈ,fear
"ਮੈਂ ਸੰਭਾਵਨਾ 'ਤੇ ਵਿਆਪਕ ਡਰ ਨਾਲ ਕੰਬ ਰਿਹਾ ਹਾਂ, ਇੱਕ ਅਜਿਹਾ ਕੰਮ ਜੋ ਮੇਰੇ ਸਰੀਰ ਦੇ ਤਾਪਮਾਨ ਨੂੰ ਉੱਚਾ ਰੱਖ ਕੇ ਮੈਨੂੰ ਬਚਾਉਣ ਵਿੱਚ ਮਦਦ ਕਰ ਸਕਦਾ ਹੈ",fear
ਮੇਰੇ ਕੁਝ ਬੋਲਣ ਤੋਂ ਪਹਿਲਾਂ ਹੀ ਉਹ ਗੁੱਸੇ ਵਿਚ ਆ ਗਿਆ,anger
ਉਹ ਘਬਰਾਇਆ ਹੋਇਆ ਅਤੇ ਡਰਿਆ ਨਜ਼ਰ ਆ ਰਿਹਾ ਸੀ,fear
ਇਹ ਤੁਹਾਡੇ ਲਈ ਬਹੁਤ ਦਿਆਲੂ ਹੈ,happy
ਉਹ ਖ਼ਬਰ 'ਤੇ ਖੁਸ਼ੀ ਨਾਲ ਆਪਣੇ ਆਪ ਦੇ ਨਾਲ ਹੋ ਸਕਦੀ ਹੈ,happy
ਵਾਹ ਵਾਹ! ਤੁਸੀਂ ਕਿਹੜੇ ਜਾਦੂ ਕਰਦੇ ਹੋ,surprise 
"ਉਸਦੇ ਪਰਿਵਾਰ ਨੇ ਮਾਈਕਲ ਨੂੰ ਇਸ ਹਫਤੇ ਇੱਕ ਖੁਸ਼ਹਾਲ, ਖੁਸ਼ਹਾਲ ਛੋਟਾ ਬੱਚਾ ਦੱਸਿਆ, ਜੋ ਪਿਛਲੇ 3 ਮਈ ਨੂੰ ਦੋ ਸਾਲ ਦਾ ਹੋ ਗਿਆ ਸੀ",happy
ਇਸ ਦੁਖਦਾਈ ਖ਼ਬਰ ਨੇ ਸਾਨੂੰ ਘਬਰਾ ਦਿੱਤਾ ਹੈ,sad
ਇਹਨਾਂ ਵੱਡੇ ਪੱਧਰ 'ਤੇ ਟੋਕਨ ਉਪਾਵਾਂ ਨੇ ਪੁਲਿਸ ਦੀਆਂ ਹਿੰਸਕ ਕਾਰਵਾਈਆਂ 'ਤੇ ਜਨਤਕ ਗੁੱਸੇ ਨੂੰ ਘੱਟ ਕਰਨ ਲਈ ਬਹੁਤ ਘੱਟ ਕੀਤਾ ਹੈ,anger
ਪਰ ਇਹ ਉਦੋਂ ਸੀ ਜਦੋਂ ਅਵਾਰਡ ਜੇਤੂ ਆਇਰਿਸ਼ ਰੈਸਟੋਰੇਟਰ ਨੇ ਅੰਤ ਵਿੱਚ ਇੱਕ ਸਵਾਲ ਅਤੇ ਜਵਾਬ ਸੈਸ਼ਨ ਦੀ ਮੇਜ਼ਬਾਨੀ ਕੀਤੀ ਜਦੋਂ ਉਸਨੇ ਆਪਣਾ ਮੌਖਿਕ ਬੰਬੇ ਸਰਪ੍ਰਾਈਜ਼ ਦਿੱਤਾ,surprise 
ਮੈਂ ਇਸ ਬਾਰੇ ਥੋੜਾ ਉਦਾਸ ਮਹਿਸੂਸ ਕਰਦਾ ਹਾਂ,sad
ਆਦਮੀ ਕਿੰਨੀ ਮਾੜੀ ਸੇਵਾ ਹੈ,anger
"ਮੈਂ ਸਿਰਫ਼ ਉੱਚਾਈ ਦੇ ਆਪਣੇ ਡਰ ਨੂੰ ਦੂਰ ਕਰਨਾ ਚਾਹੁੰਦਾ ਹਾਂ, ਪਰ ਮੈਨੂੰ ਅਸਲ ਵਿੱਚ ਨਹੀਂ ਪਤਾ ਕਿ ਕਿਵੇਂ",fear
ਮੈਂ ਮੁਸ਼ਕਿਲ ਨਾਲ ਗੁੱਸੇ ਅਤੇ ਵਿਸ਼ਵਾਸਘਾਤ ਦੀ ਭਾਵਨਾ ਦਾ ਵਰਣਨ ਕਰ ਸਕਦਾ ਹਾਂ ਅਤੇ ਸਟਾਫ ਵਿੱਚ ਹੁਣ ਵਿਆਪਕ ਨਿਰਾਸ਼ਾਜਨਕ ਹੈ,anger
ਇਹ ਇੱਕ ਸ਼ਾਨਦਾਰ ਜਗ੍ਹਾ ਸੀ,happy
ਆਕਸਫੋਰਡ ਨਿਵਾਸੀਆਂ ਨੇ ਸੇਂਟ ਗਾਇਲਸ ਸਟਰੀਟ ਅਤੇ ਕੇਬਲ ਕਾਲਜ ਵਿਖੇ ਵਿਕਾਸ ਯੋਜਨਾਵਾਂ 'ਤੇ ਆਪਣਾ ਗੁੱਸਾ ਜ਼ਾਹਰ ਕੀਤਾ ਹੈ,anger
ਮੇਰਾ ਖਾਤਾ ਕਿੰਨਾ ਚਿਰ ਚੱਲੇਗਾ,Neutral
ਕੈਬ ਡਰਾਈਵਰ ਖਿਲਾਫ ਸ਼ਿਕਾਇਤ ਦਰਜ ਕਰੋ,anger
ਕੀ ਤੁਸੀਂ ਮੈਨੂੰ ਅਚਾਨਕ ਦੇਖ ਕੇ ਹੈਰਾਨ ਹੋ,surprise 
ਵਾਹ ਇੱਕ ਚੰਗੀ ਕੈਬ ਮਿਲੀ!,happy
"ਇਹ ਨਾਂ ਸੁਣ ਕੇ ਐਡਮ ਨੂੰ ਗੁੱਸਾ ਆ ਗਿਆ, ਉਸ ਨੇ ਆਪਣੇ ਗੁੱਸੇ ਨੂੰ ਇੱਕ ਦੋ ਦਰਜੇ ਤੱਕ ਖੜਕਾਇਆ",anger
ਉਸ ਦਾ ਗੁੱਸਾ ਅਜਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ ਆਪ 'ਤੇ ਕਾਬੂ ਗੁਆ ਬੈਠਾ,anger
ਪਰ ਉਸਦੇ ਦੋਸਤ ਦੀ ਨਾ ਬਦਲੀ ਕਿਸਮਤ ਲਈ ਉਦਾਸੀ ਉਸਦੀ ਆਪਣੀ ਇੱਕ ਜ਼ਰੂਰੀ ਜਾਗਰੂਕਤਾ ਦੁਆਰਾ ਜਲਦੀ ਹੀ ਹਾਵੀ ਹੋ ਗਈ,sad
"ਇਹ ਪੱਥਰ ਜਮਹੂਰੀ, ਪੱਛਮੀ-ਪੱਖੀ, ਯੂਰੋਮੈਡਾਨ ਕ੍ਰਾਂਤੀ ਨੂੰ ਸੀਆਈਏ ਤਖਤਾਪਲਟ ਵਜੋਂ ਬਦਨਾਮ ਕਰੇਗਾ ਕੋਈ ਹੈਰਾਨੀ ਦੀ ਗੱਲ ਨਹੀਂ ਹੈ",surprise 
ਆਖ਼ਰ ਇਹ ਕਿਵੇਂ ਹੋ ਸਕਦਾ ਹੈ,surprise 
"ਪਰ ਰੀਮਾ, ਉਸ ਨੇ ਕੀ ਉਮੀਦ ਕੀਤੀ ਸੀ ਕਿ ਉਸ ਦੇ ਚਿਹਰੇ 'ਤੇ ਹੈਰਾਨੀ ਅਤੇ ਦਰਦ ਦੀ ਉਹ ਕੋਰੀ ਦਿੱਖ ਦਿਖਾਈ ਦੇਵੇਗੀ?",surprise 
ਉਹ ਖੁਸ਼ ਲੱਗਦਾ ਹੈ,happy
ਦੂਜੇ ਦਾਦਾ-ਦਾਦੀ ਆਪਣੇ ਪੋਤੇ-ਪੋਤੀਆਂ ਦੇ ਅਯੋਗ ਮਾਪਿਆਂ ਦੇ ਨਿਯਮਤ ਅਤੇ ਅਨਿਯਮਿਤ ਆਉਣ ਅਤੇ ਜਾਣ ਅਤੇ ਮੰਗਾਂ ਤੋਂ ਡਰਦੇ ਹਨ,fear
ਤੁਰੰਤ ਇੱਕ ਕੈਬ ਨੂੰ ਕਾਲ ਕਰੋ,Neutral
"ਨਿਊਨਤਮ ਕੈਂਟ ਅਤੇ ਅਡਜਸਟੇਬਲ ਲੱਤਾਂ ਦੇ ਨਾਲ, ਬਾਈਪੌਡ ਸਮਤਲ ਭੂਮੀ 'ਤੇ ਵਰਤਣ ਲਈ ਸੀਮਿਤ ਹੋਵੇਗਾ",Neutral
ਕਿੰਨੀ ਵਾਰ ਦੱਸਿਆ ਕਿ ਮੇਰਾ ਡਿਸ਼ ਟੀਵੀ ਰੀਚਾਰਜ ਕਰਨਾ ਹੈ,anger
ਤੁਸੀਂ ਇਸ ਤਰ੍ਹਾਂ ਦੇ ਚੈਨਲ ਕਿਵੇਂ ਬੰਦ ਕਰ ਦਿੱਤੇ,anger
ਮੇਰੇ ਪੈਸੇ ਕਦੋਂ ਆਉਣਗੇ,anger
ਕੈਬ ਕਿੰਨੇ ਵਜੇ ਆਵੇਗੀ,Neutral
"ਅਸਫਲਤਾ ਤੋਂ ਨਾ ਡਰੋ, ਸਗੋਂ ਕੋਸ਼ਿਸ਼ ਨਾ ਕਰਨ ਤੋਂ ਡਰੋ",fear
ਉਹ ਖੁਸ਼ੀ ਨਾਲ ਰੋਇਆ ਜਿਵੇਂ ਉਹ ਚੁਣਿਆ ਗਿਆ ਹੋਵੇ,happy
"ਮੇਰੇ ਪੂਰਨ ਅਤੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਹੈਰਾਨ ਹੋਣ ਲਈ, ਮੈਂ ਨਾ ਸਿਰਫ਼ ਸਰੀਰਕ ਤੌਰ 'ਤੇ, ਸਗੋਂ ਭਾਵਨਾਤਮਕ ਤੌਰ 'ਤੇ ਵੀ ਠੀਕ ਮਹਿਸੂਸ ਕੀਤਾ",surprise 
ਚੰਗੀ ਯੋਜਨਾਬੰਦੀ ਅਨਿਸ਼ਚਿਤਤਾ ਅਤੇ ਇਸਦੇ ਨਾਲ ਹੋਣ ਵਾਲੇ ਡਰ ਨੂੰ ਘਟਾਉਣ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ,fear
ਕੀ ਹੁਣ ਮੀਂਹ ਪਵੇਗਾ?,Neutral
ਗਾਇਕ ਨੇ ਖੁਸ਼ੀ ਨਾਲ ਕਿਹਾ ਕਿ ਉਸਨੇ ਇਨਾਮ ਜਿੱਤ ਲਿਆ ਹੈ,happy
ਚੰਗੀ ਸਿਹਤ ਸਾਨੂੰ ਹਮੇਸ਼ਾ ਖੁਸ਼ ਰੱਖਦੀ ਹੈ,happy
ਮੈਨੂੰ ਭੂਤਾਂ ਤੋਂ ਬਹੁਤ ਡਰ ਲੱਗਦਾ ਹੈ,fear
ਮੈਂ ਡਰਿਆ ਹੋਇਆ ਹਾਂ,fear
"ਮੈਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਅਗਲੇ ਦੋ ਹਫਤਿਆਂ 'ਚ ਟੀਮ ਦੇ ਜ਼ਿਆਦਾਤਰ ਖਿਡਾਰੀ ਰਨ-ਆਊਟ ਹੋ ਜਾਣਗੇ, ਕੁਝ ਲੋਕਾਂ ਨੂੰ ਗੰਭੀਰ ਸੱਟਾਂ ਨਾਲ ਆਰਾਮ ਦਿੱਤਾ ਜਾਵੇਗਾ",Neutral
ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ ਕਿ ਇਹ ਪਹਿਲਾਂ ਹੋਇਆ ਹੋਵੇ,sad
ਬਰਸਾਤ ਦੇ ਦਿਨਾਂ ਬਾਰੇ ਕੁਝ ਅਜਿਹਾ ਹੈ ਜੋ ਤੁਹਾਨੂੰ ਇੱਕੋ ਸਮੇਂ ਅਜੀਬ ਤੌਰ 'ਤੇ ਉਦਾਸ ਅਤੇ ਖੁਸ਼ ਮਹਿਸੂਸ ਕਰ ਸਕਦਾ ਹੈ,happy
ਸੰਸਾਰ ਪਰਮਾਤਮਾ ਦੀ ਗਤੀਵਿਧੀ ਦਾ ਥੀਏਟਰ ਹੈ ਅਤੇ ਹੰਝੂਆਂ ਦੀ ਇੱਕ ਨਾਖੁਸ਼ ਘਾਟੀ ਦੀ ਬਜਾਏ ਆਤਮਾ ਬਣਾਉਣ ਦਾ ਸਥਾਨ ਹੈ,sad
ਵਾਹ! ਮੇਰੀ ਟ੍ਰੇਨ ਜਲਦੀ ਆਵੇਗੀ,happy
"ਮੈਂ ਅਣਗਿਣਤ ਭਾਵਨਾਵਾਂ ਵਿੱਚੋਂ ਲੰਘਿਆ, ਦੋਸ਼ ਤੋਂ ਗੁੱਸੇ ਤੋਂ ਉਦਾਸੀ ਤੱਕ",anger
ਇਸ ਘਟਨਾ ਨੇ ਪੂਰੇ ਪਰਿਵਾਰ ਨੂੰ ਝੰਜੋੜ ਕੇ ਰੱਖ ਦਿੱਤਾ ਹੈ,surprise 
ਮੇਰੀ ਕੈਬ ਰੱਦ ਕਰੋ,Neutral
ਤੂੰ ਗੁਜ਼ਰ ਗਿਆ ਹੈ ਬੇਸ਼ਰਮ,anger
ਕਿੰਨਾ ਵਧੀਆ ਮੌਸਮ ਹੈ,Neutral
ਜੇ ਸੇਵਾ ਹਰ ਵੇਲੇ ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਰਹੇ ਤਾਂ ਕੀ ਫਾਇਦਾ,happy
ਭਵਿੱਖ ਵਿੱਚ ਸਭ ਤੋਂ ਵੱਧ ਧਿਆਨ ਦੇਣ ਵਾਲੇ ਭ੍ਰਿਸ਼ਟ ਲੋਕ ਨਕਦੀ ਜਮ੍ਹਾ ਕਰਨ ਤੋਂ ਡਰਦੇ ਮਹਿਸੂਸ ਕਰਨਗੇ,fear
